Imię,Nazwisko,PESEL
KAZIMIERA,KLIŚ,62122238781
LUCYNA,DOMINIK,65100688266
WIKTORIA,JĘDRZEJCZYK,06232539620
MARCEL,KARBOWIAK,74030670939
MARIANNA,KORCZAK,63041039549
JADWIGA,KALINOWSKI,51102185504
MARIANNA,SEWERYN,13220364681
MARCEL,JOŃCZYK,53051219556
MARIAN,ZARĘBA,59032314298
PRZEMYSŁAW,TRELA,63121192654
DARIA,MISIEWICZ,81020366907
EDWARD,WOLSKI,91080802059
SYLWIA,BUJAK,68102523265
EWA,BARTKOWIAK,82092092644
AMELIA,KRAWIEC,66052128628
MICHAŁ,TOKARSKI,58011659694
MIROSŁAW,CZARKOWSKA,07252186852
ŁUCJA,BIELSKI,88100845561
CZESŁAW,GRUSZCZYŃSKA,76022390218
KAROLINA,BOROWSKA,53121260828
OLGA,GÓRKA,70010805982
BARTOSZ,TRZCIŃSKA,64122989834
DANUTA,LANGE,61062040144
LAURA,ŚLĘZAK,76082335280
ALICJA,POPIEL,77072554940
LEOKADIA,PIĄTEK,99101963802
ANIELA,BUDA,19210852163
KAZIMIERZ,PIETRUSZKA,65073188170
TOMASZ,MĄDRY,04312446613
WŁADYSŁAWA,KOTWICA,98022352586
DOMINIK,MOSKWA,52022735859
KONRAD,SOJKA,69042582291
IVAN,SZYMURA,84022128674
EDWARD,SUŁEK,08321450214
OLIWIA,TRAWIŃSKA,53031619682
WIESŁAWA,JANUSZ,19291992381
ROZALIA,SAWICKI,52062065303
DANUTA,PASZKOWSKA,82090755561
OLIWIA,JAROS,18240786349
RADOSŁAW,DUDZIAK,19301889610
ANTONI,BOROŃ,69031304394
BOŻENA,SZELĄG,82072319769
BOGDAN,ZADROŻNA,87073096695
STANISŁAW,KACZYŃSKI,87062258736
JACEK,SOSNA,09280374676
ANIELA,KRYGIER,94103093009
KLAUDIA,ŚWIĄTEK,88062708887
HUBERT,BUDNIK,62021020999
STANISŁAWA,KALISZEWSKA,81081934903
PIOTR,RÓŻYCKI,93012108839
KRZYSZTOF,KULIKOWSKI,61072717098
EMILIA,GORCZYCA,63010263940
ANTONINA,KUŚ,78020183784
IRYNA,KURZAWA,11252672826
JULIA,KULCZYCKI,70111853222
BRONISŁAWA,DAWIDOWSKI,94041236483
HELENA,PIŁAT,16253185968
KAROL,SURMA,97122435111
HANNA,ZAJĄC,97051442105
BOLESŁAW,GRZYB,74110842814
MIROSŁAWA,PANEK,74112439887
AGATA,KITA,84022113560
MAGDALENA,DZIEDZIC,53010642089
CZESŁAW,ŁAKOMA,75040352475
KRYSTYNA,GALIŃSKA,62082419806
LENA,ŻACZEK,69051740064
IRENEUSZ,KWAŚNIEWSKA,69090886590
ANIELA,KASZA,10241412766
PAULINA,ZARĘBA,85121299643
DARIA,KOSTRZEWSKA,02272071588
DARIA,MOCZULSKI,17252190780
EWELINA,MITURA,88120270121
KAMILA,PIECUCH,10321803220
DARIUSZ,CZUBA,04210333077
MAŁGORZATA,WOLNY,63111613181
MARIA,PIKUŁA,97071604026
